,f_Signal_1Hz,f_Signal_1p05Hz,f_Signal_1p1Hz,f_Signal_1p5Hz,f_Signal_2p0Hz,f_Signal_10Hz,f_Signal_40Hz,f_Singnal_Mix,PSD_Signal_1Hz,PSD_Signal_1p05Hz,PSD_Signal_1p1Hz,PSD_Signal_1p5Hz,PSD_Signal_2p0Hz,PSD_Signal_10Hz,PSD_Signal_40Hz,PSD_Singnal_Mix
10,2.0040080160320644,2.0040080160320644,2.0040080160320644,2.0040080160320644,2.0040080160320644,2.0040080160320644,2.0040080160320644,2.0040080160320644,6.377301169662745e-05,0.005197448152751564,0.007550622564781474,0.002726555045220756,0.9999957506635474,7.36859411033592e-07,4.457750363198163e-08,0.6222026642482354
11,2.2044088176352705,2.2044088176352705,2.2044088176352705,2.2044088176352705,2.2044088176352705,2.2044088176352705,2.2044088176352705,2.2044088176352705,4.2257104125887165e-05,0.004827303595080114,0.007085282732362143,0.006495112543554665,0.4270809379882816,7.975967409310739e-07,4.4707764966826795e-08,0.28229628844008997
12,2.404809619238477,2.404809619238477,2.404809619238477,2.404809619238477,2.404809619238477,2.404809619238477,2.404809619238477,2.404809619238477,2.9764334284273322e-05,0.004386335867201505,0.0064434663021079325,0.007278182679564195,0.0005683944130897623,8.633726882847283e-07,4.485062895698056e-08,0.02537045816589888
13,2.6052104208416833,2.6052104208416833,2.6052104208416833,2.6052104208416833,2.6052104208416833,2.6052104208416833,2.6052104208416833,2.6052104208416833,2.190745509599281e-05,0.003979648781151333,0.0058373880871763015,0.006826570601720712,0.0002110691127844885,9.345048398168683e-07,4.500615109206682e-08,0.020011751784894435
14,2.80561122244489,2.80561122244489,2.80561122244489,2.80561122244489,2.80561122244489,2.80561122244489,2.80561122244489,2.80561122244489,1.667156863535611e-05,0.00362626596598202,0.005308268594951358,0.006186948793965076,0.00011130454494806049,1.0114178296408689e-06,4.5174379623231275e-08,0.016310437455486392
15,3.006012024048096,3.006012024048096,3.006012024048096,3.006012024048096,3.006012024048096,3.006012024048096,3.006012024048096,3.006012024048096,1.3025227737445304e-05,0.0033236616796245896,0.004855366663832113,0.00558032888610893,6.868214414993287e-05,1.094647119735729e-06,4.535538954538369e-08,0.013824061949118381
16,3.2064128256513027,3.2064128256513027,3.2064128256513027,3.2064128256513027,3.2064128256513027,3.2064128256513027,3.2064128256513027,3.2064128256513027,1.0395496298366718e-05,0.0030645596344471377,0.0044683530116930706,0.005050322544701202,4.6443890724877146e-05,1.1848469984278422e-06,4.5549245736651976e-08,0.012572720203487745
17,3.4068136272545093,3.4068136272545093,3.4068136272545093,3.4068136272545093,3.4068136272545093,3.4068136272545093,3.4068136272545093,3.4068136272545093,8.444894501517273e-06,0.002841550570679848,0.004136070218961936,0.004596928666038308,3.336601335933197e-05,1.282803133462708e-06,4.575602820545307e-08,0.010783175777266696
18,3.6072144288577155,3.6072144288577155,3.6072144288577155,3.6072144288577155,3.6072144288577155,3.6072144288577155,3.6072144288577155,3.6072144288577155,6.963541837283221e-06,0.0026482519340680862,0.003848774453938486,0.004210019811411412,2.502974653244594e-05,1.3894501734122179e-06,4.597581344841009e-08,0.009575686388503538
19,3.807615230460922,3.807615230460922,3.807615230460922,3.807615230460922,3.807615230460922,3.807615230460922,3.807615230460922,3.807615230460922,5.816064592054784e-06,0.002479449529073231,0.003598482069497503,0.0038784459135438225,1.9397113177085627e-05,1.5058951980288578e-06,4.6208691630850893e-08,0.008377187533537216
